Brand,post_id,post_text,time,likes,comments,shares,post_url,sentiment_score,sentiment_magnitude
DMK,5233237706750993,"The perfect hump day treat ✨ - Spark Joy Block Heel Pumps
 
 Shop via link in bio✨
 
 #DMKSHOES #journeywithcourage",2021-03-18 17:35:25,562,1,0,https://facebook.com/DMKShoes/posts/5233237706750993,0.400000006,1.200000048
DMK,5222151987859565,"This March, celebrate International Women’s Month in a meaningful way. The theme for this year is Self-Esteem — an important aspect of looking and feeling good, while believing you deserve all the love in the world. We believe that creating a balance in looking and feeling good is important so that all women can #journeywithcourage. In the coming days, more aspirational women will be sharing stories of how they overcome issues with self-esteem, which we hope will help women feel stronger and love themselves 💖
 
 From 1st-31st March, when you purchase any products from the #feelgoodDMK collection, 38% of the proceeds will be donated to Star Shelter (@the_scwo) to support survivors (women and children) of domestic violence.
 Join our initiative to make a difference for women 👱‍♀️
 
 Product Featured: Good Vibes Slip-on Sneakers in Grey and White
 
 Shop via link in bio✨
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-16 17:45:52,375,0,0,https://facebook.com/DMKShoes/posts/5222151987859565,0.300000012,3
DMK,5212299752178122,"@soniaasyira: ""All the support from people who truly cared for me helped me to leave my past in the past, and walk away from those toxic people.
 
 I think counting my blessings really helped, because I realised I was really blessed in other areas of my life. I also gradually learnt to differentiate between people who truly loved me, and those who did not. The healing, self-acceptance and learning process can’t be rushed. If there's any advice from my personal experience that I can share with someone facing self-esteem issues, it would be to fill your time with productive activities, and spend more time with people who care about you. Be proud of yourself for pushing through every day.
 
 Lastly, live for yourself. Because if you live for others, it's hard to feel happy and whole. 😊
 
 ——
 
 As seen on @soniaasyira: Two Halves Flat Mules ✨
 Shop via link in bio or at all DMK boutiques
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-14 12:12:35,177,0,0,https://facebook.com/DMKShoes/posts/5212299752178122,0.300000012,5.400000095
DMK,5203802836361147,"@soniaasyira: ""I was going through a lot of personal challenges a few years ago as there were toxic people who hurt me a lot emotionally and always made me feel very guilty. They made me feel like I was not allowed to be happy. It resulted in me developing panic attacks on a nightly basis.
 
 I kept asking myself - “Am I just going to accept that this is my fate?”. For a long period of time, I did not have the self-assurance to feel that I could do something about it. I was bubbly and chirpy in the day, but I cried myself to sleep every night.
 
 Most of the time, the hardest thing about letting go of toxic people in life (including mine), ironically, is that you love and care for those people, even when they don't feel the same way towards you. The feelings make it hard to let them go, especially when they also instil feelings of guilt into you.""
 
 ——
 
 As seen on @soniaasyira: Buckle Up Flat Mule Pumps ✨
 Shop via link in bio or at all DMK boutiques
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-12 16:02:19,245,0,0,https://facebook.com/DMKShoes/posts/5203802836361147,-0.300000012,5.5
DMK,5199584210116343,"@soniaasyira - ""I seem like a positive and happy person now, but what many do not know, which is also the first time I’m sharing on public record, is that I used to have anxiety attacks on a nightly basis a few years ago. I felt like I was not allowed to be happy.""
 
 ——
 
 A content creator since she was 14, Sonia’s social media page is filled with colourful content - a reflection of her vibrant real-life personality. But behind those happy scenes were years of struggles to finally achieve her current state of self-acceptance and self-love.
 
 In the next 2 posts, @soniaasyira shares about her struggles with anxiety, how she moved on from her dark past and what she does to mitigate feelings of insecurities that threaten her self-esteem 💖
 
 As seen on @soniaasyira: Feeling Good Sneakers from the #feelgoodDMK collection ✨
 38% of proceeds from this collection will be donated to Star Shelter (@the_scwo), a safe haven that supports survivors (women and children) of domestic violence.
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-11 17:08:15,469,0,0,https://facebook.com/DMKShoes/posts/5199584210116343,0,2.799999952
DMK,5187152624692835,"@tippytapp: I think one of the ways to mitigate self-esteem issues is to keep yourseslf busy. If someone makes negative comments about you online, just don't look at those comments, then you won't think about them.
 
 Apart from that, if something is affecting your self-esteem, try to get advice from people who love you, care for you and support you. Because when you're feeling down and weak, you might not be emotionally ready to hear an objective stand that does not alleviate those negative feelings.
 
 Of course, this does not mean that one does not take constructive comments -- but I think it's important to find the right person to speak to at the right time.
 
 Turn to people who will lift you up 💪🏻
 
 As seen on @tippytapp: Lead With Love Thong Sandals in Cream
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-08 18:21:46,276,0,0,https://facebook.com/DMKShoes/posts/5187152624692835,0,2.599999905
DMK,5182352868506144,"@tippytapp: As a mother, I feel that there's a lot of competition for your kids to do well in life. At times, people will make comparative comments about your children - whether well-intended or not - such as their growth, their ""supposed"" size, etcetera.
 
 Those comments disturbed me at the start. I felt that I am already trying my best, and those who commented don't understand certain things, such as how different children grow at different pace, or how there are many factors beyond our control, such as genes.
 
 But after a while, those comments don't mean anything anymore. Perhaps it’s also because I’m a relatively emotionally neutral person, so I tend not to let things affect me easily 💁🏻‍♀️
 
 As seen on @tippytapp: Feeling Good Sneakers from the #feelgoodDMK collection ✨
 38% of proceeds from this collection will be donated to Star Shelter (@the_scwo), a safe haven that supports survivors (women and children) of domestic abuse.
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-07 13:45:08,233,0,0,https://facebook.com/DMKShoes/posts/5182352868506144,-0.200000003,3.200000048
DMK,5178098055598292,"@tippytapp - “After a while, those negative comments don’t mean anything anymore. Perhaps it’s also because I’m a relatively emotionally neutral person, so I tend to not let things affect me easily”
 
 A full-time content creator and a mother of 2 adorable sons, one can’t help but be amazed by how @tippytapp seems to balance both motherhood and her creative career so well.
 
 In the next 2 posts, @tippytapp shares about her motherhood journey, some of the challenging issues she faced and how she mitigates issues that threaten her self-esteem 💖
 
 As seen on @tippytapp: Feeling Good Sneakers from the #feelgoodDMK collection ✨
 
 38% of proceeds from this collection this March will be donated to Star Shelter (@the_scwo), a safe haven that supports survivors (women and children) of domestic violence.
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-06 12:29:02,364,0,0,https://facebook.com/DMKShoes/posts/5178098055598292,0,2.099999905
DMK,5174323452642419,"We believe in making a difference and supporting the women community, to help women look and feel good to #journeywithcourage. Hence, this March, we want to commemorate International Women’s Month in a meaningful way. The theme for this year is Self-Esteem — an important aspect of looking and feeling good, while believing you deserve all the love in the world. In the coming days, aspirational women will be sharing stories of how they overcome issues with self-esteem, which we hope will help women feel stronger and to #journeywithcourage 💖
 
 Beyond that, from 1st-31st March, 38% of proceeds from the #feelgoodDMK collection will be donated to Star Shelter (@the_scwo), a safe haven that supports survivors (women and children) of domestic violence.
 Stay tuned for what’s to come for this initiative ✨
 
 Product Featured: Feeling Good Sneakers in Nude
 
 Shop via link in bio✨
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-05 15:47:42,17,0,0,https://facebook.com/DMKShoes/posts/5174323452642419,0.300000012,3.400000095
DMK,5165952296812868,"We believe in making a difference and supporting the women community, to help women look and feel good to #journeywithcourage.
 
 Hence, this March, we want to commemorate International Women’s Month in a meaningful way. The theme for this year is Self-Esteem - an important aspect of looking and feeling good, while believing your deserve all the love in the world. In the coming days, aspirational women will be sharing stories of how they overcome issues with self-esteem, which we hope will help women feel stronger and to #journeywithcourage 💖
 
 Beyond that, from 1st-31st March, 38% of proceeds from the #feelgoodDMK collection will be donated to Star Shelter @the_scwo, a safe haven that supports survivors (women and children) of domestic violence.
 Stay tuned for what’s to come for this initiative ✨
 
 Product Featured: Feeling Good Sneakers in Nude
 
 Shop via link in bio ✨
 
 #DMKSHOES #journeywithcourage #feelgoodDMK",2021-03-03 15:41:27,293,0,0,https://facebook.com/DMKShoes/posts/5165952296812868,0.300000012,3.400000095
